23:47:28  |  Platform  |  Info  |  device D3D lost  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  260
23:47:28  |  Platform  |  Info  |  device D3D restore  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  270
23:47:36  |  Core  |  Info  |  * Shutdown: Gui  |  .\src\MyGUI_Gui.cpp  |  148
23:47:36  |  Core  |  Info  |  * Shutdown: PointerManager  |  .\src\MyGUI_PointerManager.cpp  |  84
23:47:36  |  Core  |  Info  |  PointerManager successfully shutdown  |  .\src\MyGUI_PointerManager.cpp  |  101
23:47:36  |  Core  |  Info  |  * Shutdown: InputManager  |  .\src\MyGUI_InputManager.cpp  |  86
23:47:36  |  Core  |  Info  |  InputManager successfully shutdown  |  .\src\MyGUI_InputManager.cpp  |  91
23:47:36  |  Core  |  Info  |  * Shutdown: SkinManager  |  .\src\MyGUI_SkinManager.cpp  |  68
23:47:36  |  Core  |  Info  |  SkinManager successfully shutdown  |  .\src\MyGUI_SkinManager.cpp  |  75
23:47:36  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  .\src\MyGUI_SubWidgetManager.cpp  |  78
23:47:36  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  .\src\MyGUI_SubWidgetManager.cpp  |  98
23:47:36  |  Core  |  Info  |  * Shutdown: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  63
23:47:36  |  Core  |  Info  |  destroy layer 'Wallpaper'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Back'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Overlapped'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Middle'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Modal'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Main'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Popup'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'FadeMiddle'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Info'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'ToolTip'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'FadeBusy'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Pointer'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Fade'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  destroy layer 'Statistic'  |  .\src\MyGUI_LayerManager.cpp  |  206
23:47:36  |  Core  |  Info  |  LayerManager successfully shutdown  |  .\src\MyGUI_LayerManager.cpp  |  74
